Category,Subscribers,Free,<&#36;1,&#36;1-&#36;2,&#36;2-&#36;3,&#36;3+,Avg Dwnlds,Avg Sold,Region
Crime Fiction,3860000,712,1138,1970,2845,3983,47900,3870,All
Cozy Mysteries,2780000,643,1028,1791,2570,3598,45300,2630,All
Historical Mysteries,2840000,640,1024,1785,2560,3584,35400,2560,All
Historical Fiction,2670000,629,1006,1750,2515,3521,32700,3510,All
Contemporary Romance,2180000,598,956,1679,2390,3346,40200,3010,All
Biographies and Memoirs,2530000,591,944,1638,2360,3304,22600,2470,All
Women's Fiction,1900000,589,942,1635,2355,3297,43000,3620,All
Thrillers,3350000,584,934,1609,2335,3269,39800,2990,All
Psychological Thrillers,2710000,568,908,1555,2270,3178,39000,2490,All
Cooking,1610000,534,854,1490,2135,2989,24400,2280,All
Crime Fiction,3090000,548,876,1577,2190,3066,35700,2990,United States
Thrillers,2660000,433,692,1246,1730,2422,29400,2310,United States
Historical Mysteries,2300000,519,830,1494,2075,2905,30800,2050,United States
Cozy Mysteries,2260000,519,830,1494,2075,2905,36800,2040,United States
Historical Fiction,2170000,502,802,1444,2005,2807,26000,2810,United States
Psychological Thrillers,2070000,402,642,1156,1605,2247,28300,1710,United States
Biographies and Memoirs,2030000,463,740,1332,1850,2590,18900,2000,United States
Literary Fiction,1950000,374,598,1077,1495,2093,18300,1900,United States
Action and Adventure,1890000,350,560,1008,1400,1960,27000,1740,United States
Contemporary Romance,1770000,509,814,1466,2035,2849,32400,2520,United States
Crime Fiction,770000,164,262,393,655,917,12200,880,International
Thrillers,690000,152,242,363,605,847,10400,680,International
Psychological Thrillers,640000,167,266,399,665,931,10700,780,International
Historical Mysteries,540000,122,194,291,485,679,4600,510,International
Cozy Mysteries,520000,124,198,297,495,693,8500,590,International
Action and Adventure,510000,119,190,285,475,665,8300,450,International
Historical Fiction,500000,128,204,306,510,714,6700,700,International
Biographies and Memoirs,500000,128,204,306,510,714,3700,470,International
Fantasy,440000,118,188,282,470,658,8400,530,International
Women's Fiction,410000,128,204,306,510,714,9200,720,International
